sample_id,biological_state,domain,embedding_1,embedding_2,local_density,highlight_label
F_A_01,Fibrotic,Cohort A,2.9,-1.1,0.84,no
F_A_02,Fibrotic,Cohort A,3.4,-0.8,0.79,no
F_A_03,Fibrotic,Cohort A,2.6,-1.5,0.71,no
F_B_01,Fibrotic,Cohort B,3.1,-1.8,0.77,no
F_B_02,Fibrotic,Cohort B,3.6,-1.3,0.74,no
F_B_03,Fibrotic,Cohort B,2.8,-0.6,0.66,no
F_C_01,Fibrotic,Cohort C,3.8,-1.7,0.69,no
F_C_02,Fibrotic,Cohort C,3.2,-0.4,0.61,no
I_A_01,Inflammatory,Cohort A,-1.3,2.1,0.88,no
I_A_02,Inflammatory,Cohort A,-0.9,2.4,0.93,no
I_A_03,Inflammatory,Cohort A,-1.7,1.8,0.77,no
I_B_01,Inflammatory,Cohort B,-0.6,1.9,0.81,no
I_B_02,Inflammatory,Cohort B,-1.1,2.7,0.74,no
I_B_03,Inflammatory,Cohort B,-0.4,2.3,0.7,no
I_C_01,Inflammatory,Cohort C,-1.5,2.6,0.73,no
I_C_02,Inflammatory,Cohort C,-0.8,1.6,0.66,no
P_A_01,Proliferative,Cohort A,1.8,1.3,0.82,no
P_A_02,Proliferative,Cohort A,2.3,1.6,0.87,no
P_A_03,Proliferative,Cohort A,1.5,1.8,0.71,no
P_B_01,Proliferative,Cohort B,2.6,1.2,0.79,no
P_B_02,Proliferative,Cohort B,2.1,2,0.76,no
P_B_03,Proliferative,Cohort B,2.8,1.7,0.68,no
P_C_01,Proliferative,Cohort C,1.7,0.9,0.69,no
P_C_02,Proliferative,Cohort C,2.4,0.8,0.64,no
Q_A_01,Quiescent,Cohort A,-3.2,-1.1,0.91,no
Q_A_02,Quiescent,Cohort A,-2.9,-0.8,0.86,no
Q_A_03,Quiescent,Cohort A,-3.4,-1.4,0.79,no
Q_B_01,Quiescent,Cohort B,-2.7,-1.2,0.83,no
Q_B_02,Quiescent,Cohort B,-3.1,-1.6,0.75,no
Q_B_03,Quiescent,Cohort B,-2.5,-0.9,0.72,no
Q_C_01,Quiescent,Cohort C,-3.5,-0.7,0.69,no
Q_C_02,Quiescent,Cohort C,-2.8,-1.7,0.67,no
