record_id,tool,overall_judgment,assessor,ai_assisted,timestamp,D1_randomisation,D2_deviations,D3_missing_data,D4_measurement,D5_selection_reporting
R0001,rob2,high,assessor_A,false,2026-04-07T11:00:00,low,low,low,high,low
R0002,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,some_concerns,low,high,high
R0003,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,low,some_concerns,low,high
R0004,rob2,high,assessor_A,false,2026-04-07T11:00:00,some_concerns,some_concerns,some_concerns,some_concerns,high
R0005,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,some_concerns,some_concerns,some_concerns,some_concerns
R0006,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,some_concerns,some_concerns,low,high
R0007,rob2,some_concerns,assessor_A,false,2026-04-07T11:00:00,some_concerns,some_concerns,low,some_concerns,some_concerns
R0008,rob2,high,assessor_A,false,2026-04-07T11:00:00,some_concerns,low,high,low,high
R0009,rob2,high,assessor_A,false,2026-04-07T11:00:00,low,low,some_concerns,high,high
R0010,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,high,some_concerns,some_concerns,low
R0011,rob2,high,assessor_A,false,2026-04-07T11:00:00,low,some_concerns,low,some_concerns,high
R0012,rob2,high,assessor_A,false,2026-04-07T11:00:00,low,some_concerns,high,high,high
R0013,rob2,high,assessor_A,false,2026-04-07T11:00:00,some_concerns,some_concerns,some_concerns,high,high
R0014,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,some_concerns,some_concerns,low,high
R0015,rob2,high,assessor_A,false,2026-04-07T11:00:00,some_concerns,low,low,high,high
R0016,rob2,high,assessor_A,false,2026-04-07T11:00:00,some_concerns,low,high,high,low
R0017,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,low,low,high,low
R0018,rob2,high,assessor_A,false,2026-04-07T11:00:00,low,some_concerns,low,high,low
R0019,rob2,high,assessor_A,false,2026-04-07T11:00:00,low,high,low,low,low
R0020,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,some_concerns,some_concerns,low,high
R0021,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,high,high,some_concerns,high
R0022,rob2,high,assessor_A,false,2026-04-07T11:00:00,some_concerns,low,low,high,high
R0023,rob2,high,assessor_A,false,2026-04-07T11:00:00,some_concerns,low,low,high,high
R0024,rob2,high,assessor_A,false,2026-04-07T11:00:00,some_concerns,high,some_concerns,low,high
R0025,rob2,high,assessor_A,false,2026-04-07T11:00:00,high,high,some_concerns,low,low
